0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/internship1.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/internship1.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:43 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:43 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:43 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:43 +0530] "GET /GenSeaTech/assets/internship1.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:43 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:43 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:43 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:43 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:43 +0530] "GET /GenSeaTech/assets/internship1.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:16:06 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5387
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:16:06 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:16:06 +0530] "GET /GenSeaTech/assets/Internships1.jpg HTTP/1.1" 200 1108645
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:16:06 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:16:06 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:19:23 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5387
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:19:23 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:19:23 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:19:23 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:19:23 +0530] "GET /GenSeaTech/assets/Internships1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:19:25 +0530] "GET /GenSeaTech/products.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:19:27 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5387
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:19:27 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:19:27 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:19:27 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:21:04 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:21:04 +0530] "GET /GenSeaTech/assets/Internships1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:21:04 +0530] "GET /GenSeaTech/assets/Internships2.jpg HTTP/1.1" 200 2059112
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:22:39 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:22:39 +0530] "GET /GenSeaTech/assets/Internships2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:22:39 +0530] "GET /GenSeaTech/assets/Internships1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:26:27 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:26:27 +0530] "GET /GenSeaTech/assets/Internships2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:26:27 +0530] "GET /GenSeaTech/assets/Internships1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:26:40 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:26:40 +0530] "GET /GenSeaTech/assets/Internships3.jpg HTTP/1.1" 200 1735562
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:29:51 +0530] "GET /GenSeaTech/home.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:29:53 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:29:53 +0530] "GET /GenSeaTech/assets/mission.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:29:53 +0530] "GET /GenSeaTech/assets/vision.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:29:59 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5924
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:30:01 +0530] "GET /GenSeaTech/products.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:30:03 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5432
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:30:03 +0530] "GET /GenSeaTech/assets/Internships1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:30:03 +0530] "GET /GenSeaTech/assets/Internships2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:30:03 +0530] "GET /GenSeaTech/assets/Internships3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:35:24 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 6003
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:35:24 +0530] "GET /GenSeaTech/assets/project.jpg HTTP/1.1" 200 3035646
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:35:24 +0530] "GET /GenSeaTech/assets/Internships2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:35:24 +0530] "GET /GenSeaTech/assets/Internships3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:35:24 +0530] "GET /GenSeaTech/assets/Internships1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:37:48 +0530] "GET /GenSeaTech/home.jsp HTTP/1.1" 200 3222
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:37:55 +0530] "GET /GenSeaTech/about.jsp HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:37:55 +0530] "GET /GenSeaTech/assets/mission.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:37:55 +0530] "GET /GenSeaTech/assets/vision.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:38:01 +0530] "GET /GenSeaTech/connectus.jsp HTTP/1.1" 200 5924
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:38:16 +0530] "GET /GenSeaTech/products.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:38:18 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 6003
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:38:18 +0530] "GET /GenSeaTech/assets/Internships1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:38:19 +0530] "GET /GenSeaTech/assets/Internships3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:38:19 +0530] "GET /GenSeaTech/assets/Internships2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:38:19 +0530] "GET /GenSeaTech/assets/project.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:39:21 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 6000
